date,party,support,type
2023-02-01,S,3570,count
2023-02-01,S,0.24,prop
2023-02-01,V,3570,count
2023-02-01,V,0.068,prop
2023-02-01,others,3570,count
2023-02-01,others,0.003,prop
2023-01-01,D,3540,count
2023-01-01,D,0.235,prop
2023-01-01,B,3540,count
2023-01-01,B,0.113,prop
2023-01-01,C,3540,count
2023-01-01,C,0.073,prop
2023-01-01,F,3540,count
2023-01-01,F,0.055,prop
2023-01-01,J,3540,count
2023-01-01,J,0.044000000000000004,prop
2023-01-01,M,3540,count
2023-01-01,M,0.055,prop
2023-01-01,P,3540,count
2023-01-01,P,0.10400000000000001,prop
2023-01-01,S,3540,count
2023-01-01,S,0.253,prop
2023-01-01,V,3540,count
2023-01-01,V,0.068,prop
2023-01-01,others,3540,count
2023-01-01,others,0,prop
2022-12-01,D,2560,count
2022-12-01,D,0.23800000000000002,prop
2022-12-01,B,2560,count
2022-12-01,B,0.121,prop
2022-12-01,C,2560,count
2022-12-01,C,0.069,prop
2022-12-01,F,2560,count
2022-12-01,F,0.062,prop
2022-12-01,J,2560,count
2022-12-01,J,0.046,prop
2022-12-01,M,2560,count
2022-12-01,M,0.046,prop
2022-12-01,P,2560,count
2022-12-01,P,0.113,prop
2022-12-01,S,2560,count
2022-12-01,S,0.23399999999999999,prop
2022-12-01,V,2560,count
2022-12-01,V,0.068,prop
2022-12-01,others,2560,count
2022-12-01,others,0.003,prop
2022-11-01,D,4160,count
2022-11-01,D,0.24100000000000002,prop
2022-11-01,B,4160,count
2022-11-01,B,0.122,prop
2022-11-01,C,4160,count
2022-11-01,C,0.07400000000000001,prop
2022-11-01,F,4160,count
2022-11-01,F,0.045,prop
2022-11-01,J,4160,count
2022-11-01,J,0.052000000000000005,prop
2022-11-01,M,4160,count
2022-11-01,M,0.055999999999999994,prop
2022-11-01,P,4160,count
2022-11-01,P,0.122,prop
2022-11-01,S,4160,count
2022-11-01,S,0.21100000000000002,prop
2022-11-01,V,4160,count
2022-11-01,V,0.075,prop
2022-11-01,others,4160,count
2022-11-01,others,0.002,prop
2022-10-01,D,3100,count
